timestamp,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,rc0,rc1,rc2,rc3, vol, cur,power
11.4629380703,-0.0150468126,0.0188925527,-0.0097614788,0,-0.4276516438,11.6641778946,-0.0667529299,-0.0586083965,-1.7205081474,1489,1487,1632,1517,16.3349990845,14.013671875,228.913317248
11.5654149055,-0.013444799,0.0315333903,0.020042425,0,-1.3654335737,9.3461637497,-0.0644456648,-0.0593305498,-1.7207945348,1489,1486,1645,1517,16.3349990845,15.185546875,248.0558943
11.6637270451,0.0090788016,0.0366675928,0.2179325074,0,-1.8061087132,12.1494836807,-0.0456875691,-0.0516783797,-1.717306841,1489,1487,1660,1517,16.2549991608,18.115234375,294.463119563
11.7662329674,0.02752514,0.0353152864,0.512280941,0,0.793944478,11.0360774994,-0.0272710496,-0.0454389165,-1.7131673805,1489,1487,1661,1517,16.2549991608,19.580078125,318.27415349
11.864248991,0.0194192585,0.0238480289,0.9017754793,0,-2.3138129711,13.4062643051,-0.0149631516,-0.0355855637,-1.7059385829,1488,1489,1660,1517,16.0949993134,19.482421875,313.569566701
11.9665300846,-0.0017105521,-0.005492426,1.3415244818,0,0.4151077271,12.7384347916,-0.0106109243,-0.020482458,-1.6959696822,1489,1487,1661,1517,16.0949993134,10.888671875,175.253166351
12.0651459694,-0.0075220466,-0.044322148,1.4227479696,0,-2.0333282948,12.1174354553,-0.0116840845,-0.012637066,-1.6903464757,1489,1486,1661,1517,16.0949993134,13.330078125,214.547598269
12.1670939922,-0.0207533184,-0.0869724229,1.4374644756,0,-0.0567788295,10.6446990967,-0.0138948159,-0.0098602129,-1.6873248679,1489,1487,1660,1517,16.0949993134,12.060546875,194.114493672
12.2654938698,-0.0134307919,-0.1481768936,1.4150378704,0,0.1962854266,10.5253038406,-0.0098494955,-0.0285303663,-1.6824892051,1489,1486,1660,1517,15.9659996033,14.599609375,233.097357489
12.3680849075,-0.0077872407,-0.1723529547,1.4095278978,0,0.0403903164,10.613275528,-0.008087004,-0.0480687848,-1.6826403692,1489,1486,1660,1517,15.9010000229,13.818359375,219.725732738
12.4665379524,-0.0013228892,-0.1739632636,1.4196002483,0,0.0507952496,9.4050989151,-0.00303665,-0.0548417547,-1.6844302772,1488,1487,1660,1519,15.9010000229,12.451171875,197.986084269
12.5684640408,0.0063892286,-0.1790819019,1.4306288958,0,-1.3029165268,7.3510270119,0.0010600047,-0.0572620221,-1.687567394,1489,1486,1660,1517,15.9010000229,12.841796875,204.197412403
12.66690588,0.0017617461,-0.1794043481,1.4148899317,0,-1.8591277599,9.5077991486,0.0108911269,-0.0638264593,-1.6935836176,1488,1487,1658,1519,15.8319997787,13.76953125,217.999215703
12.7692399025,-0.0087274686,-0.1686228365,1.4187643528,0,-0.8110390306,11.4560203552,0.0133851833,-0.0689407381,-1.6953966873,1489,1486,1660,1517,15.8319997787,13.525390625,214.133981382
12.8680598736,-0.0213652458,-0.1549307257,1.4275336266,0,-0.8607310653,10.2303552628,0.0148844378,-0.0724722674,-1.6963618906,1489,1487,1659,1517,15.8319997787,14.599609375,231.141012395
12.9705018997,-0.0546408594,-0.1188406125,1.42549932,0,0.5545061827,9.7499666214,0.0122261726,-0.0758698972,-1.6955830331,1488,1489,1658,1519,15.7810001373,14.0625,221.920314431
13.0686640739,-0.0794096366,-0.0895923153,1.3973788023,0,0.2589346766,7.7457046509,0.0050139522,-0.0736728568,-1.6935948072,1489,1487,1658,1517,15.7810001373,15.576171875,245.807570498
13.171626091,-0.0933391452,-0.0742810965,1.3944884539,0,0.5266289115,11.2952671051,0.0030851344,-0.0698822916,-1.6928365302,1489,1487,1657,1519,15.7810001373,14.013671875,221.149757784
13.2696499825,-0.112037383,-0.0639795363,1.3863946199,0,-0.3669029474,12.1101427078,-0.0003737331,-0.0657021222,-1.6922874337,1488,1487,1656,1520,15.7329998016,12.060546875,189.748581592
13.3720300198,-0.1279825717,-0.0524228923,1.3852630854,0,-2.1483201981,8.4527139664,-0.0195728349,-0.0600871517,-1.6953146315,1489,1487,1656,1520,15.7329998016,15.234375,239.682418853
13.4700648785,-0.1290023476,-0.0515591837,1.3726696968,0,0.0570749938,9.3578357697,-0.0287024755,-0.0603508536,-1.6972830849,1489,1486,1655,1518,15.7049999237,12.5,196.312499046
13.5722160339,-0.0990286991,-0.044130832,1.3693153858,0,-1.910392642,8.0148954392,-0.0350458974,-0.0624419848,-1.7007489314,1489,1486,1655,1518,15.7049999237,13.916015625,218.551024329
13.670912981,-0.0990286991,-0.044130832,1.3693153858,0,-0.3769179881,9.0432977676,-0.0350458974,-0.0624419848,-1.7007489314,1489,1487,1655,1518,15.7049999237,13.720703125,215.483641531
13.7732548714,-0.0661504492,-0.0509827323,1.3708139658,0,-0.9747129083,11.6943616867,-0.030919142,-0.0680688223,-1.7065658075,1488,1489,1655,1518,15.6689996719,13.427734375,210.399165517
13.8712038994,-0.0516198948,-0.0388659984,1.3820151091,0,-1.1063394547,11.6469335556,-0.0305428708,-0.0711684847,-1.708396952,1489,1486,1655,1518,15.6689996719,13.037109375,204.27846252
13.9735689163,-0.0242943615,-0.0319047868,1.3773915768,0,-1.0404086113,9.9256486893,-0.0342292118,-0.0730200342,-1.7114751742,1489,1486,1654,1518,15.6520004272,13.671875,213.992193341
14.0721170902,0.0157071203,-0.0307856314,1.3619155884,0,-0.0510589667,8.5761585236,-0.0323337151,-0.0837428717,-1.7083164512,1489,1486,1654,1521,15.6520004272,12.939453125,202.528325841
14.1747000217,0.0414333194,-0.0126444735,1.3515975475,0,-0.7966976166,10.5877599716,-0.0223369234,-0.0852306253,-1.704343498,1489,1487,1654,1521,15.6520004272,15.185546875,237.684186175
14.2729558945,0.0492763408,0.0163844246,1.3589382172,0,0.6743945479,12.3092727661,-0.0081771457,-0.0836788358,-1.700422703,1489,1486,1653,1520,15.6199998856,10.595703125,165.5048816
14.3747239113,0.0424571373,0.0599005744,1.1442745924,0,-0.7895156145,6.8687334061,0.0030663112,-0.0916482103,-1.6978509714,1489,1486,1631,1522,15.6199998856,6.982421875,109.065428888
14.4735639095,0.0371698849,0.0718956441,0.9715640545,0,-0.0157046244,7.7695188522,0.0085769463,-0.1013789377,-1.6968616111,1488,1487,1610,1522,15.6199998856,6.34765625,99.1503898986
14.5757079124,0.0371982604,0.1038871929,0.4775929153,0,0.5139802098,5.6682310104,0.0082733006,-0.1108224423,-1.6941545344,1489,1487,1574,1522,15.6560001373,5.224609375,81.7964850925
14.6743378639,0.0372303203,0.1266668588,0.1343464255,0,-0.5342342258,7.3686079979,0.0103276658,-0.1064569575,-1.6921212064,1489,1486,1552,1522,15.6560001373,12.158203125,190.348829795
14.77648592,0.0433053859,0.1717627496,-0.0849457607,0,-0.3065238595,7.0207133293,-0.0001910512,-0.0904063951,-1.6888064167,1489,1486,1521,1522,15.6929998398,13.818359375,216.851511458
14.874849081,0.0516443141,0.1893331259,-0.0804462805,0,-0.2258631736,13.1478567123,-0.0055115012,-0.0792590143,-1.6877605391,1488,1487,1517,1522,15.6929998398,13.96484375,219.150290731
14.9778409004,0.0570253767,0.2017319202,-0.072551094,0,-0.5712850094,9.9988842011,0.0004319867,-0.0620549116,-1.6867638152,1489,1486,1493,1522,15.6630001068,12.060546875,188.904346991
15.0754199028,0.0550717302,0.1986615658,-0.0643949434,0,0.5010359287,10.1425170898,0.002821123,-0.0515080745,-1.6865146125,1489,1486,1492,1520,15.6630001068,11.865234375,185.845167283
15.1774969101,0.0452521667,0.1856511533,-0.0516467653,0,1.528935194,10.4272079468,0.0109906921,-0.0468787183,-1.6841170025,1488,1489,1493,1520,15.6630001068,14.013671875,219.496144075
15.2764999866,0.0311371908,0.1606304199,-0.0470209494,0,-2.3102388382,11.7356138229,0.0137793297,-0.0514380045,-1.6799539298,1489,1486,1493,1521,15.6339998245,12.451171875,194.661618909
15.3782730103,0.0207158588,0.1613183469,-0.0357007049,0,-0.4032945633,8.3836345673,0.0133862824,-0.0581047724,-1.6772785338,1489,1486,1493,1521,15.6339998245,14.0625,219.853122532
15.476680994,0.013494431,0.1487389803,-0.0378066711,0,1.4953573942,11.4506826401,0.0124317515,-0.0598286364,-1.6755584572,1489,1486,1493,1521,15.6059999466,14.2578125,222.507421114
15.5791060925,-0.0135264322,0.148422882,0.0161498636,0,-2.2497081757,8.3423891068,0.0161685137,-0.0701546594,-1.6756752527,1489,1487,1493,1521,15.6059999466,13.232421875,206.505175075
15.677341938,-0.0293199047,0.1620060056,0.0563881136,0,1.8684462309,10.8282403946,0.0124645701,-0.0747680775,-1.6828745204,1489,1486,1493,1521,15.6059999466,12.548828125,195.837011049
15.7797188759,-0.0410124175,0.1727186888,0.0846338198,0,-0.3116584122,8.0500831604,0.0090545482,-0.0688912221,-1.6891088392,1488,1489,1493,1521,15.5819997787,11.474609375,178.797360742
15.8785851002,-0.0417929217,0.1680779755,0.0862368792,0,-0.6003798246,10.7557039261,0.0076941519,-0.0671020314,-1.6931451825,1489,1486,1493,1521,15.5819997787,11.865234375,184.884079406
15.9804739952,-0.0396939591,0.1871803105,0.1083477214,0,-1.7120968103,10.9772853851,0.0032224087,-0.070515919,-1.7052267751,1489,1486,1493,1521,15.5819997787,13.76953125,214.556832891
16.0788810253,-0.0369660892,0.2072789967,0.1285156757,0,1.6221702099,8.5362091065,0.0028406782,-0.0729546595,-1.7129500471,1488,1487,1493,1521,15.5640001297,13.28125,206.709376723
16.181374073,-0.0138050076,0.2337727845,0.1271616071,0,-0.1918876767,10.6955041885,0.003420477,-0.0748314963,-1.7259270395,1489,1487,1493,1521,15.5640001297,15.13671875,235.587892588
16.2795579433,-0.006249256,0.2418846786,0.1253166646,0,-1.2239282131,9.8048467636,0.0031420395,-0.0710341095,-1.7308588014,1488,1487,1493,1521,15.5509996414,12.744140625,198.18412629
16.3820159435,0.0046025049,0.2575942278,0.1210781932,0,-1.5118347406,11.3187713623,0.0124267764,-0.0649063401,-1.7355122051,1489,1487,1493,1521,15.5509996414,12.40234375,192.868843209
