,timestamp,raw_output,rc0,rc1,rc2,rc3,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,current,voltage,power
0,6.899,535,1488,1486,1099,1099,-0.139601,-0.128254,-0.0136596,0.661681,0.261549,-9.59117,1.123046875,16.3131,18.3203759766
1,7.001,534,1488,1486,1099,1099,-0.140383,-0.12476,-0.0154981,0.105626,0.408089,-9.72593,1.07421875,16.3131,17.5238378906
2,7.099,540,1488,1486,1099,1099,-0.135969,-0.126409,-0.0136184,0.580082,0.435807,-9.89896,1.3671875,16.3094,22.2980078125
3,7.201,536,1488,1486,1099,1099,-0.137446,-0.124662,-0.0138686,0.634323,0.473305,-9.60417,1.171875,16.3094,19.112578125
4,7.3,540,1488,1486,1099,1099,-0.135254,-0.124129,-0.013681,0.410527,0.465669,-9.80834,1.3671875,16.3094,22.2980078125
5,7.402,540,1488,1486,1098,1099,-0.132727,-0.124192,-0.0130474,0.462104,0.449466,-9.79847,1.3671875,16.3056,22.2928125
6,7.5,542,1488,1486,1098,1099,-0.130967,-0.122681,-0.0114251,0.529892,0.507457,-9.70061,1.46484375,16.3056,23.88515625
7,7.603,539,1488,1486,1098,1099,-0.130668,-0.120043,-0.0123227,0.56082,0.573633,-9.73469,1.318359375,16.3056,21.496640625
8,7.701,545,1488,1486,1099,1099,-0.12939,-0.118244,-0.0117011,0.378608,0.690426,-10.0694,1.611328125,16.3023,26.2683544922
9,7.803,548,1488,1486,1099,1099,-0.128249,-0.117159,-0.0103209,0.578254,0.373101,-9.83952,1.7578125,16.3023,28.6563867187
10,7.902,543,1488,1486,1099,1099,-0.127273,-0.116488,-0.00844631,0.408253,0.471997,-9.70751,1.513671875,16.3023,24.6763330078
11,8.004,549,1488,1486,1099,1099,-0.126243,-0.115417,-0.00780761,0.58106,0.484746,-9.90756,1.806640625,16.2934,29.4363183594
12,8.102,583,1488,1486,1099,1099,-0.126418,-0.114962,-0.00653976,0.414805,0.346558,-10.0746,3.466796875,16.2934,56.4859082031
13,8.205,441,1488,1486,1099,1099,-0.125607,-0.114836,-0.00545931,0.312163,0.172315,-9.84198,-3.466796875,16.2934,-56.4859082031
14,8.303,542,1488,1486,1099,1099,-0.126921,-0.113355,-0.00557774,1.00421,0.515146,-10.0083,1.46484375,16.2877,23.8589355469
15,8.406,544,1488,1486,1099,1099,-0.121977,-0.113513,0.00251134,0.679451,0.131406,-8.69455,1.5625,16.2877,25.44953125
16,8.504,543,1488,1486,1099,1099,-0.123509,-0.114491,0.00308903,0.478581,0.576014,-9.89755,1.513671875,16.2877,24.6542333984
17,8.606,542,1488,1486,1100,1099,-0.122742,-0.114221,0.00573305,0.400622,0.309115,-9.84128,1.46484375,16.2841,23.8536621094
18,8.705,541,1488,1486,1101,1099,-0.122154,-0.11431,0.00699686,0.578189,0.220069,-9.53511,1.416015625,16.2841,23.0585400391
19,8.807,539,1488,1486,1101,1099,-0.120864,-0.114046,0.0101776,0.485476,0.286848,-9.97945,1.318359375,16.2841,21.4682958984
20,8.905,540,1488,1486,1102,1099,-0.121171,-0.115299,0.0116789,0.459091,0.052233,-10.1702,1.3671875,16.2877,22.2683398438
21,9.008,544,1488,1486,1102,1099,-0.12046,-0.113258,0.0139781,0.602981,0.64704,-9.94814,1.5625,16.2877,25.44953125
22,9.106,543,1488,1486,1106,1119,-0.121652,-0.114171,0.0195511,0.311421,0.195628,-9.52547,1.513671875,16.2877,24.6542333984
23,9.208,541,1488,1486,1165,1520,-0.120381,-0.113531,0.0194948,0.569863,0.584626,-9.60643,1.416015625,16.2886,23.0649121094
24,9.307,539,1488,1486,1165,1520,-0.120236,-0.113538,0.0200954,0.464333,0.269849,-9.7901,1.318359375,16.2886,21.4742285156
25,9.409,541,1488,1486,1164,1518,-0.119643,-0.113585,0.0218588,0.58154,0.697931,-9.53216,1.416015625,16.2886,23.0649121094
26,9.508,542,1488,1486,1164,1518,-0.118857,-0.112962,0.0232382,0.475338,0.494418,-9.30932,1.46484375,16.2846,23.8543945313
27,9.61,543,1488,1486,1165,1517,-0.120018,-0.114517,0.0235162,0.706365,0.433144,-9.74729,1.513671875,16.2846,24.6495410156
28,9.712,541,1488,1486,1171,1516,-0.12073,-0.113494,0.0233423,0.502228,0.450071,-9.76891,1.416015625,16.2846,23.0592480469
29,9.81,546,1488,1486,1206,1517,-0.122627,-0.114124,0.0212694,0.400402,0.325181,-10.1214,1.66015625,16.2818,27.0303320313
30,9.913,539,1488,1486,1212,1517,-0.123022,-0.111468,0.0229043,0.508373,0.47481,-9.60214,1.318359375,16.2818,21.4652636719
31,10.011,542,1488,1485,1216,1516,-0.124642,-0.111704,0.0218472,0.305921,0.379514,-9.95953,1.46484375,16.2818,23.8502929688
32,10.113,540,1488,1486,1223,1515,-0.125237,-0.109998,0.0255535,0.612582,0.378061,-9.27458,1.3671875,16.2797,22.2574023437
33,10.212,542,1488,1486,1225,1515,-0.126047,-0.11039,0.0230648,0.387985,0.615192,-10.0906,1.46484375,16.2797,23.8472167969
34,10.314,542,1488,1486,1226,1515,-0.124703,-0.110217,0.0254265,0.657752,0.859848,-9.80607,1.46484375,16.2797,23.8472167969
35,10.413,539,1488,1485,1226,1516,-0.125299,-0.111813,0.0270437,0.475081,0.193473,-9.35738,1.318359375,16.2726,21.4531347656
36,10.515,537,1488,1486,1226,1516,-0.125457,-0.111205,0.0243913,0.661196,0.452317,-9.47047,1.220703125,16.2726,19.8640136719
37,10.614,542,1488,1486,1227,1518,-0.124101,-0.11415,0.0242062,0.529292,0.141057,-9.76696,1.46484375,16.2726,23.8368164063
38,10.716,540,1488,1486,1226,1516,-0.121393,-0.112381,0.0222482,0.600684,0.77724,-9.47426,1.3671875,16.2821,22.2606835937
39,10.814,538,1488,1484,1226,1516,-0.12111,-0.112871,0.0221088,0.396576,0.525958,-9.65482,1.26953125,16.2821,20.6706347656
40,10.916,541,1489,1486,1227,1516,-0.120342,-0.113945,0.0215342,0.51497,0.371078,-10.0215,1.416015625,16.2821,23.0557080078
